epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,97.3372,1.99026,0.14118,0.77647,1.99532,0.0005454,0.0001818,0.0005454,0.0001818,0.0005454,0.0001818,0.0005454,0.0001818
2,154.445,1.9047,0.25882,0.94118,1.81743,0.00106273,0.000354242,0.00106273,0.000354242,0.00106273,0.000354242,0.00106273,0.000354242
3,206.808,1.72919,0.6,0.98824,1.5531,0.00152336,0.000507786,0.00152336,0.000507786,0.00152336,0.000507786,0.00152336,0.000507786
4,250.33,1.49362,0.87059,0.98824,1.20499,0.00192729,0.000642431,0.00192729,0.000642431,0.00192729,0.000642431,0.00192729,0.000642431
5,284.368,1.20505,0.90588,1,0.91819,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
6,318.115,0.91076,0.94118,1,0.64836,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
7,351.987,0.70063,0.92941,1,0.48627,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
8,390.873,0.54526,0.94118,1,0.33232,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031
9,425.007,0.42124,0.95294,1,0.2595,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
10,458.978,0.35576,0.96471,1,0.21971,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
11,492.82,0.29517,0.96471,1,0.20005,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
12,531.598,0.29052,0.97647,1,0.16234,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
13,565.622,0.25898,0.97647,1,0.16338,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
14,599.707,0.23382,0.97647,1,0.16155,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058
15,633.756,0.23361,0.97647,1,0.13786,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
16,672.115,0.21004,0.97647,1,0.1388,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068
17,706.388,0.23212,0.98824,1,0.13683,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
18,740.215,0.22684,0.98824,1,0.13675,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077
19,774.153,0.23257,0.98824,1,0.123,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
20,812.644,0.20513,0.98824,1,0.13956,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05
